연간 예산	annual budget
기밀	secret; secret information
체결	conclusion, sign, contract, enter into;conclude
고유	inherent, innate, indigenous;characteristic, distinct
두	two
우호	friendship;amity
교차	cross, intersect;cut
동심	childlike, innocence; innocence of childhood
성곽	castle;fortress, stronghold
여느	usual, ordinary, common
몸체	body
노사	labor and management, management and unions
이륙	take off, depart
미세	minute;fine, tiny
오용	misuse, use sth for a wrong purpose, put sth to improper use, abuse
분비	secrete
고발	accuse , charge;report
유대	bond , link , tie
교향곡	symphony
착용	wear, put on, have sth on
램	RAM
소홀	carelessness, negligence, indifference;indifferent, careless, negligent, inattentive
낌새	sense something
한복판	the;middle, center, the heart
사면	sb a pardon
애처롭다	pitiful, pathetic
나팔	trumpet, horn;bugle
연일	every day;day after day, day in, day out
육안	naked eye
떠넘기다	dump sth on sb, shift sth onto sb
에게	to, at, for, by
메시	mesh
합산	adding up, footing; add up, add together, sum up, aggregate, total, foot up
재직	incumbent, hold a post
목돈	large sum;lump sum
비례	to
진위	truth, authenticity
한정	limit , restrict
박자	time, beat
큰돈	fortune, large sum of money, a lot of money;big money;mint;big bucks
수온	water temperature
명화	famous painting;excellent film, noted film
걸림돌	obstacle, hindrance, stumbling block;impediment;encumbrance;roadblock
원대	one's;unit
펌프	pump
정년	retirement age, age of retirement
폭등	sharp rise, a sudden rise
환호	cheer, yell out a cheer, shout for joy
분포	be distributed, be spread
게재	publication, insertion, printing; publish, print, insert, report
사안	issue, matter
경찰의	a police medical officer, a police surgeon
단번에	immediately, at once;on the first try, at the first attempt
본뜨다	be modeled after sth
산맥	range, mountain chain, range of mountains
번식	breed, propagate, reproduce, multiply
거대	;huge, gigantic, enormous, immense, mammoth, massive, colossal, monstrous, titanic, stupendous
가파르다	steep, sheer, precipitous
여타	the other(s) one
횡포	tyranny, high-handedness
개최	hold , open , host
다스리다	govern, rule
노파	old woman
요령	trick;knack;know-how
침몰	sinking, sink, go under, founder
되도록	as ... as possible (practical),
귀뚜라미	cricket
드나들다	come in and out;frequent
날인	one's seal
되살리다	revive, resuscitate
수증기	vapor, steam
장학	encouragement, encourage learning
확답	definite answer
팔짱	fold one's arms
되살아나다	revive
꼼꼼히	carefully, meticulously
중계	relay
내세우다	nominate , field, put up
사하다	forgive, pardon
조립	assembly, assembling , assemble, put;together
저널리즘	journalism
만료	expiration, termination; expire, come to an end, complete
패하다	be defeated, be beaten, lose, suffer a defeat
허수아비	scarecrow
빗발치다	rain
입지	position
한풀	One step, one level
달리하다	differ , be different
타지	another land (place)
호스	hose;hosepipe
박차	spur
고도	altitude, height, elevation
반열	rank, order
학업	study, learning;one's studies
갈피	an interval, space between layers
불로	eternal;youth.
범행	crime;offense, criminal act
이삿짐	cargo, luggage, 
투	tone
한대	polar regions
청각	hearing;auditory sense
어부	fisherman
단거리	short distance
영공	airspace
자가	one's self/own, one's own house
짜이다	be knitted
혹한	bitter
감성	sensitivity, sensibility
지배	rule, domination , rule , dominate, govern, control
야권	the opposition, opposition parties
접어들다	enter, get into
능률	efficiency
과업	task, duty
혼인	married
초창기	initial
전반기	first half-year, the first half of the year
드릴	drill
예민	sensitiveness; acumen .
탐	avarice, greed, covetousness
의료	medical treatment
잇달다	happen one after another, occur in succession
쾌락	pleasure, delight, enjoyment
물방울	water drop, drop of water
선풍	sensation
아열대	subtropical regions
자칫	could, if
손익	profit and loss, gain and loss
식중독	food poisoning
공익	public interest, common good
불완전	incomplete, imperfect
아슬아슬	dangerous, risky, critical, perilous, close, narrow, near
천만	ten million
근력	muscular strength;physical strength
달라다	beg, ask, request, appeal, plead , solicit , call upon a person to
발산	release, work off
편찬	compile;publish
기한	time limit;deadline;term
부제	subtitle (heading)
산산이	to pieces
배가	doubling; double, be doubled, increase double
요건	requirement ;prerequisite ;requisite
지속	last, continue, endure;persist
들어서다	enter, go in
거세다	fierce, violent, strong, wild
견제	in check
관중	spectator;gallery
기압	atmospheric pressure
알차다	fruitful, profitable;meaningful
배분	distribute , divide , share , portion out, allocate, allot;apportion
가닥	strand
보호소	shelter
화폐	money;currency;bill;note;banknote;coin
모사	copy
살충	killing insects, destroy worms
겨루기	competition
북도	the northern provinces, the provinces north of Gyeonggi;the North;province
벽화	mural;fresco
내몰다	drive out, force out, turn out;kick out
그야말로	simply, really, indeed, truly, literally
학수고대	look forward to, wait for a thing with impatience
달하다	reach, come to
허다하다	numerous, abundant, many, plentiful
이점	advantage, merit, benefit, virtue, plus
정교하다	exquisite, elaborate, delicate
적외선	infrared light, infrared rays
의의	meaning, significance, importance
십상	the very (right) thing (for), ideal
대조	compare , check
비정규직	temporary position;temporary employee, temporary worker, non-regular worker
웃돌다	exceed
효력	effect, effectiveness;efficacy
보충	supplement , make up for;replenish;recruit
체외	be discharged from the body
대금	payment;price
이득	profit, gain;benefit, good, advantage
성패	success or failure
간주	regard , treat , take , deem, reckon , count
타이르다	reason;persuade, talk to, admonish, remonstrate with
납득	accept;understand
돛	sail
명제	proposition;thesis
줄줄이	one after the other, one after another, in a row
명세	the items , breakdown, classification, itemization, an accounting;detailed, full, minute, particular
양해	understanding;consent, excuse;understand;consent
구기다	wrinkle, crumple, crease, crush
지수	index, quotient
감시	the lookout for
도랑	ditch, gully;gutter
분간	distinguish , tell
이라고	(to be) called, named
눈여겨보다	watch;carefully, pay attention , keep an eye , eye
내의	underwear, underclothes, underclothing
암담	dark; gloomy; dismal; somber.
일찌감치	early
집도	perform
꽃가루	pollen
사회악	social evil
보완	supplement
효능	effect, effectiveness;efficacy
긴축	strict economy, retrenchment, curtailment, contraction, shrinkage, reduce, retrench, curtail, contract, cut down, shrink
골다	snore
줄넘기	jump rope;skipping rope
적도	the equator
자전	rotation, rotate
출현	appearance, emergence;advent , appear, emerge
타인	others, other people;stranger
걸레	rag;mop
당황	be embarrassed, be flustered, be taken aback
태연	calm, cool, composed, collected, nonchalant, unperturbed
고마워하다	thank, appreciate, be thankful, be grateful
기가	giga-
손상	damage, be damaged
수질	water quality
설교	sermon, preach, give a sermon
옆문	side door, side entrance, side exit
쌀쌀맞다	cold, cool, unfriendly
여러모로	in various ways
되팔다	resell
목차	table of contents
여파	aftermath, aftereffect
달라붙다	stick , cling , adhere
도무지	utterly, entirely, 
나위	worth , necessity
승화	sublimation
소신	belief, conviction;opinion, view
성과급	bonus, performance-related pay
눈살	draw one's eyebrows
배척	exclude, ostracize
못마땅하다	displeased , dissatisfied , unhappy
박차다	kick;storm out
호소	appeal;plead;complain of
불평등	unfair, unequal
눕히다	lay
두툼하다	thick
담합	fix, rig
겸	at the same time, in addition, and,
계발	develop
채용	recruitment, employment, hire, recruit, employ, take on
차곡차곡	in a neat pile neatly,
온대	temperate climate regions
회수	collect, withdraw
무릅쓰다	risk
불거지다	stick out, bulge
탐사	explore
민원	civil complaint
무장	arm
무기질	minerals
요점	the;point, the essentials, the gist , substance
청구	claim;claim, charge, make a claim;ask, demand;file
급등	up
르네상스	the Renaissance
고구려	Goguryeo.
완화	relax, ease;relieve, ease, alleviate
혼돈	chaos, confusion
부흥	revival
밑돌다	fall short
때로	sometimes, occasionally, at times, from time to time;now and then;once in a while
발명	invent
순환	circulation, rotation, cycle , circulate, rotate, cycle
한없이	endlessly, infinitely
인식	understand, perceive, see;realize;recognize;know
초조	restlessness, nervousness, anxiety, restless, nervous, anxious, impatient
간결	conciseness; brevity; terseness; compactness; concision.
포용	tolerate;embrace
발소리	footstep, step
투입	put , insert
누가	empty
지정	designation, appointment ;designate, appoint
일깨우다	awaken, arouse;enlighten, open sb's eyes
변질	spoil, go bad, go sour
기입	recording, entry, filling up, write; record, enter, make an entry , fill up, register
알선	mediation, good services, intercession
끌어올리다	draw, pull
수분	water, moisture
막대	stick, rod
왜곡	distort, twist, pervert
공기업	public enterprise, state-owned company
사로잡히다	be caught captive
매매	trade, deal in, buy and sell
빠듯하다	barely, marginal, tight, close
미생물	microorganism, microscopic organism;microbe
대처	handle, cope with, deal with, manage, treat, react
물불	fire and water
날것	raw stuff, uncooked food, raw fish fruits, untreated article
시골집	a country house, a cottage
상어	shark
신속히	quickly
차지	win, take possession
늘리기	add 
방침	policy;course , line
첨단	cutting edge
나날이	day by day;every day;from day to day
집계	total, aggregate, accumulation, total , count, combine into a total, add up
원천	source, root, origin, wellspring;fountainhead
종목	event
야생	wild, wildness
기증	donate
뼈대	frame, build, physique
분분하다	divergent, different, diverse
전동	electro-motion
열풍	fever, craze
감량	lose weight, reduce
당대	one's lifetime
특정	particular, specific, certain
가축	stock, livestock, domestic animals
이제껏	until now, so far, thus far, up to now, up to this time
추락	fall, drop, plunge;crash, fall, drop, go down;crash
솔깃하다	tempting, inviting, enticing, seductive
노년	old age, advanced age
과다	excessive;superabundant
해충	harmful insect;vermin
획득	acquire, obtain, gain;secure;win, take
각본	scenario;screenplay, script
선호	preference , prefer , favor
개체	entity, individual
서술	description, depiction, narration, describe, depict, narrate
상냥함	gentleness
걷어붙이다	roll up
오스트리아	Austria
때다	burn, light, make a fire
양팔	one's arms, both arms
논점	point
설계	plan, map out
일과	daily task, daily work;routine
정시	fixed time
거창하다	bombastic, high-sounding, high-flown;grandiose
성과	result, outcome, fruit, product
제차	various kinds of vehicles.
진입	entry;penetration, enter;penetrate
방도	way, means, manner;method
방과	dismissal of a class; school get out, let out, be dismissed, be over, break up
운항	fly;sail;ply
구비	folklore, oral tradition, legend
다시금	again, for the second time, anew
허벅지	thigh
화석	fossil
전업	full-time job
잔소리	nag , nitpick
꼴찌	the last, the bottom
클리닉	a clinic
타이어	tire;tyre
등기	register
야근	night overtime
가벼워지다	be less serious.
암호	code, cipher;password
강연	lecture, speech
장편	a long work, a long piece
발성	vocalization
볼거리	spectacle, attraction
이만저만	to this extent or that, so so, this much or that, tolerably
목동	shepherd boy
오기	indomitable spirit, competitive spirit, unyielding
발열	heat generation, emit heat
수백만	millions
창출	create
입증	confirm;prove, show, demonstrate, establish, testify , certify, substantiate;attest
포경	whaling, whale hunting
영입	recruit;scout
평안	peaceful;well
궁중	court
에티오피아	Ethiopia
수가	medical charge
참견	interfere , meddle ;butt in
여력	empty
울상	tearful face, a face about to cry
별개	exception, separately, a different thing, a special case
법하다	have good reason to , It ought to be , It can be expected , It seems likely
정서	emotion, feeling;sentiment
변덕	whim, caprice, fickle, a change of mind
소외	be alienated, be marginalized, be excluded, be isolated
통념	common idea, conventional wisdom
단일	singleness, unity, solidarity
북서	northwest
뒤처지다	fall behind, lag behind
등지다	fall out (with a person), turn your neck on
동계	winter; winter season
격	class
가변	variable, changeable
어업	fishery, the fishing industry
자질	talent, gift;qualification
음치	tone-deaf person
캔버스	canvas
지혜롭다	wise;sagacious
그물	net, netting;fishnet
장거리	long distance
폐하	Your
풍성하다	plentiful, ample;abundant
천식	asthma
점포	shop, store
새삼	a dodder, love vine
멧돼지	boar, wild pig
졸라매다	tighten
취급	handling, handle, deal with;carry, trade in, deal in
성행	prevalence, prevail, be prevalent, be very popular;rape, be rife , be rampant
일선	a line
분만	give birth
평양	Pyongyang.
자치	autonomy
돋치다	stick out, put forth, pop out, spring out
존	a zone
보이	a boy, a waiter;a carriage boy;a steward boy;a porter ;a page;a bellboy
수혈	transfusion , transfuse, give a blood transfusion
오락가락	coming and going; to and fro; back and forth; off and on.
제멋대로	as one pleases, at;will, of one's own accord, at one's;discretion
말썽	trouble
보내기	making an irrigation ditch
반기	semester
고루하다	outdated, old-fashioned, antiquated, stuffy
불공정	unfair, unjust
호전	for the better, pick up
따름	merely, only, just, simply
화근	source of trouble
관통	penetrate;pass
실리	benefit, practical interests
애견	pet dog;lapdog
악화	degenerate, deterioration, degeneration, aggravation;exacerbation, deteriorate, worsen, become worse, be aggravated;be exacerbated
화풍	style
주목	attention, pay
성싶다	seem, appear, be likely , I guess that...
양상	aspect, appearance, look;condition
가재	crawfish, crayfish
라도	even;though, even if, however;any
안목	discerning eye, discernment, discrimination, perspective
과언	exaggeration (in words), saying to much, 
요한	John
가늠	judge, estimate;guess, make a guess
해부	an autopsy
물감	paints
철폐	abolition, abolish, do away with, get rid of
사로잡다	capture, catch; take prisoner
왕왕	sometimes, occasionally;now and then;once in a while, from time to time;often, frequently
연계	ties, connection, link, liaison, have ties , be connected , be linked
상담원	adviser, counselor, consultant
들뜨다	be excited
소폭	narrow range, narrow limits
수호	protection , protect, guard, defend
당첨	win
에서는	in; at; to; as to; as for; in the case of; in point;of; concerning.
보유	possess, hold, have, own
비이성적	unreasonable, irrational
산지	producer, home, producing area, producing district
결합	combine, unite
고공	high altitude
세력	influence , power, strength
포괄	include, cover, embrace
초과	excess;exceed
쓸모	use
퇴치	eradicate, exterminate, get rid of, wipe out
후유증	aftereffect;sequela
수여	presentation;conferment;present , award;confer;decorate
범하다	make
종국	end, close
곤경	trouble, difficulty, predicament, plight, difficult situation
짐승	animal;beast, brute
친화	friendship, fraternity, fellowship, harmony, affinity;friendly, intimate
밀집	be concentrated
재평가	reappraise;revalue,
말로	one's last days, end
성찰	introspection, self-examination, soul-searching, introspect, reflect
몰락	fall, collapse , crumble , be ruined
신세계	new world;the New World
식이	food, a diet
강국	power, powerful nation
고대	ancient times, antiquity
음향	sound
관측	observe
들여오다	bring in
즉흥	impromptu
금상첨화	The icing on the cake
촉촉하다	moist, slightly wet
좁아지다	narrow
대공황	the Great Depression
꼼짝없이	helplessly, inevitably, with no way out
뻐근하다	stiff
버릇없이	rudely
위약금	cancellation charge, penalty for breach of contract
악용	abuse, misuse, misapplication, misusage, abuse, misuse, put to a bad use, make bad use , turn;to evil account
설령	even if, even though
기꺼이	readily; gladly; willingly
해약	cancel;rescind
동해안	the eastern coast of Korea
받들다	respect;revere, look up to
등과	passing the higher civil service examination; pass the higher civil service examination
노심초사	exertion of the mind, great anxiety, heavy cares, constant worry
몸소	personally, in person
배신	betray
맛보기	prelibation;a special orderforetaste;a taster;tasting, sampling,
반신반의	dubiously, incredulous, in doubt
등록	register;enroll, sign up
곰곰이	Think something over, mull over sth
장만	prepare, get sth ready;purchase, buy;procure
효율	efficiency, effectiveness
보답	repay;reward ,
역효과	opposite effect, reverse effect, adverse reaction, contrary result
겨를	time
스트레칭	stretch
살금살금	secretly, stealthily, quietly
헹구다	rinse , give sth a rinse;gargle
환	a money order, exchange, transfer
호칭	appellation ;call , name
뜻	meaning, sense
일요	Sunday
우러나다	brew, infuse, steep
경매	auction
잘해야	at best
가까스로	barely, narrowly
무작정	blindly, thoughtlessly
둥	with a boom; pay someone little attention
의뢰	request;commission
가려내다	sort out;tell;identify, pick out
경련	convulsion, spasm;cramp;tic;twitch
태산	a great mountain, a huge amount of
골머리	head (skull)
권유	advise , suggest, recommend
기절	faint; pass out; black out; lose consciousness
언뜻	in an instant, in a flash;by chance, by accident, unexpectedly
위안	comfort, consolation, solace
샛길	byway, byroad, side road
후련하다	feel relieved, feel unburdened
쑥스럽다	shy, bashful;embarrassed
공복	empty stomach
무턱대고	blindly, thoughtlessly
불어나다	grow, increase, rise, multiply, mount , pile up;accumulate
요가	yoga
평론가	critic, reviewer
생필품	daily necessity, necessaries
뛰어오르다	jump, leap
단숨에	in one breath, at a stretch, 
수긍	agree;be convinced , accept
빠짐없이	without exception, in full, one and all, thoroughly
파악	grasp, understand, comprehend, figure out;realize
둘	two
거위	goose
시치미	feign ignorance
일개	mere, only
밟히다	be stepped ;be trod;be trampled
속편	sequel , follow-up
재활	rehabilitation
서둘러	hurriedly
섭취	intake, ingestion, ingest, take
습지	wetland, swamp, marsh, bog
증식	proliferation, increase;proliferate, increase
확대	expand
반박	refute;rebut
벗어나다	get out
유일	only, sole;one and only
끼치다	cause;occasion
울산광역시	Ulsan
최고봉	the highest peak
두드러지다	remarkable, noticeable, exceptional, prominent, striking, conspicuous, marked
자의	one's own will
치명상	fatal injury, mortal wound, deadly wound
고난	hardship, trouble, suffering, difficulty, adversity;trial, ordeal
축적	accumulation, accumulate, amass, build up
움푹	become hollow, dented, sink
버팀목	prop, strut;support
학계	academia, academic world
에는	as for, to, at, in
떳떳하다	honorable
노하우	know-how
성실	faithfulness, sincerity , faithful, sincere, earnest
보일러	boiler, furnace
이에	hereupon, thereupon, whereupon, on this, hence, accordingly
주리다	starve, go hungry
서열	rank, grade
바느질	sewing, needlework
생김새	appearance, looks, features
의상	clothes, dress;garment;apparel;costume;wardrobe;clothing
뿌듯하다	full to the brim (feels good)
로서	as, for, in the capacity of
부조화	mismatch, incongruity
용맹	courage, bravery, dauntlessness, intrepidity;valor;gallantry, lion-heartedness
구간	section
어우러지다	mix , mingle;be in harmony, go together
웰빙	well-being
물고	death of an eminent person
우물	well (water well)
급기야	at;last; in the end; after all
소양	knowledge;refinement
이나	but;yet, while, though, although
일인	one person
꼬치꼬치	inquisitively, nosily
과잉	excess, surplus
맹수	savage beast;predatory animal
외면	look away , turn away , look the other way, turn one's back;avoid
본보기	model, example
다짐	promise, make a promise;resolve, make a resolution;pledge
온순하다	gentle, mild, meek;docile
재력	wealth, financial power;means
현혹	dazzlement, bewilderment, a daze, dazzle, bewilder, daze, blind
동행	accompany, go with
싶어하다	want to, feel like , be desirous of
작업실	workroom
밀어내다	push;shove, thrust, force
보태다	supplement;make up
뛰쳐나가다	run out, dash out, storm out
헌신	devote oneself , dedicate oneself , be committed to
존중	respect; respect, honor
도약	leap, jump
노	oar;paddle;scull
황급히	hurriedly, urgently, hastily, in a hurry, in;haste
아우르다	embrace
돋우다	raise; turn up, spice up, lift
비평	criticize, review
자각	self awareness, self awakening
객석	seat, auditorium
참답다	truthful;true, real, sincere, genuine, faithful,
설득	persuasion, persuade, convince, coax
둘째	second
부지런	hard-working;diligent;industrious
중시	serious consideration, taking a serious view ; attach importance to, take a serious view , lay stress on , value much
무뚝뚝하다	curt, brusque, abrupt, gruff;unfriendly;cold
두루	throughout, widely, all around, extensively, far and wide
담백하다	light, clean
촉망	be promising
덩치	build, frame, body
티끌	dust, dirt, speck, mote
붓	writing brush;brush
기질	disposition; tendency; temperament; cast of mind
톡톡히	severely, harshly, smartly
작정	decide;determine;resolve;intend
대수롭다	significant, important, valuable, useful
볼품	outward appearance, show, looks (fine, good)
신중	caution, prudence, discretion, circumspection, cautious, careful, prudent;discreet, circumspect
대담	talk ;converse
투병	one's struggle against disease
북적거리다	bustle; crowd
여간하다	ordinary, normal, common
학창	a school, a campus, an educational institute
엄두	The very thought of doing something; daring
상세히	in detail, minutely
역량	capability , competence , ability , capacity
으로	with
허위	falsehood, fallacy, untruth, lie
암기	memorization, memorize, learn, learn by heart
기어가다	crawl, creep
뭉치다	unite, stand together; conglomerate, lump together
뒤집다	turn sth inside out, turn sth wrong side out
꺾이다	break;snap
억압	suppression, repression, oppression, suppress, repress, oppress
복부	abdomen, abdominal region
파급	spread, reach, extend;influence, affect
끌어내리다	drag;down
임시직	temporary;temporary employee, temp
앞당기다	advance, put sth forward, make sth earlier, move up
모이	feed
수립	establishment, founding , establish, found, set
단정	conclude
분배	distribute , divide, share
글쓴이	writer;author
한몫	share, portion
산림	forest
유효	valid, available, good, effective
체제	system
성금	donation, contribution
헝겊	cloth, patch, scrap
배양	culture, cultivate, incubate
펼치다	open, spread , unfold;unroll
암울	gloom, melancholy;gloomy, dark, somber, melancholy,;dismal, funereal
진보	progress, advance ;progress, advance
뒷받침	support, back up
빼내다	pick out;extract
도용	steal;pirate;plagiarize
지침	guidelines , guide
상술	business ability
고충	difficulty, problem, distress, predicament
발굴	excavate, dig
열량	calorie , calory
신진	rising, coming
장애	obstacle , barrier , hindrance , hurdle, stumbling block
순풍	fair wind, following wind, tailwind
형형색색	a great variety of things, all sorts of things
뒷면	the back, the reverse side;tails
변변하다	decent, satisfactory;proper, adequate, suitable, appropriate
방영	be broadcast, be aired, be televised, be telecast, be on the air
일지	journal, daily record, daily log
변환	change, conversion, diversion;transformation, change, convert, divert
이직	change jobs
형상	shape, form
공지	announce, notify , make an announcement
워	war (english)
개척	pioneer, develop, blaze a trail
소방	firefighting
지나다니다	pass
중력	gravity, gravitation, force of gravity, gravitational pull
테	rim, frame;brim
소란	disturbance, fuss, uproar, commotion, row;ruckus
겉모습	appearance, look
기부	donate; contribute; subscribe
소통	communication, communicate
엄연히	clearly, undoubtedly
후각	smell;olfactory sense
시한	time limit;deadline
콧노래	humming
를	grammar particle for subject to verb
고사하고	let alone, far from
그래프	graph
채굴	mining , mine
풍요롭다	rich, affluent;fertile, productive
분양	parcel out, sale of land in lots
입금	deposit
이따	later, after a while
이수	complete, finish
주시다	give
반영	reflect, mirror;apply
관행	practice, custom
두각	stand out, lead the rest
맞춤	an order, made to order, an ordered article
치매	dementia;Alzheimer's
운영	manage, run, operate
내실	internal stability; substance
편리	convenience, expediency, handiness, facilities, advantage;convenient, handy, expedient, serviceable, useful
수확	harvest , harvest, reap;gather in
그르다	wrong, incorrect, false
변색	be discolored
지열	geothermal heat, terrestrial heat, subterranean heat
제고	improve, boost, enhance
굴곡	bend, curve
밀착	stick , adhere
콘크리트	concrete
정작	actually, really
늦추다	delay, postpone, defer, put off
눈코	the eyes and the nose
철회	withdrawal, retraction;recantation , withdraw, retract;recant;call off
회담	talks, meeting, conference
이탈리아	Italy
예견	foresight, prognostication, foreknowledge, prescience; foresee, prognosticate
탈바꿈	transformation, metamorphosis ; change , assume another shape, metamorphose, transform
특허	patent
단절	extinction, interruption, stoppage, discontinuation
들이다	let sb in, allow sb in
반값	half price
면역	immunity
세포	cell
침체	recession, depression, slump, stagnation, be depressed, become stagnant
화물	freight, cargo, goods
영수	leader, chief, head
불러들이다	call (a person), hail, summon
빈도	frequency
일한	a term.
불가능	impossible
증대	increase
병균	pathogenic bacterium, pathogenic fungus
복용	take, dose; take a dose
기반	base; footing; foothold; groundwork
허구	fiction, fabrication
렌즈	lens
줄이기	drop 
얕보다	look down on, make light of, take sb lightly
확립	establish
양측	both sides, both parties
시베리아	Siberia
나누기	division
량	car;carriage
특이	unusual, interesting, unique;offbeat;strange, odd, peculiar, weird, eccentric
기류	air current
저가	low price, cheap price
당국	the authorities
현황	present condition, current state of affairs
야유회	picnic, excursion, outing
맺히다	form
부쩍	stubbornly, persistently
앞자리	front seat, front-row seat, seat in the front row
두께	thickness
눈사태	avalanche
갈채	applause;ovation;cheer;acclamation;plaudits
오디션	audition
로마	Rome
골탕	suffer a big loss, have a bitter experience
미술품	work of art, art work;fine art
저래	like that, so, that way
임명	appoint, name
묘비	tombstone, gravestone, headstone
안도	relief, feel relieved, feel at ease
배열	arrange, sequence
강습	lesson, class, course, training
꼽다	count, number, reckon, take count of
무방하다	fine;all right;OK;okay
대피	take shelter , evacuate , be evacuated
질환	disease, illness, sickness, disorder;ailment;trouble
치타	cheetah
뛰어넘다	jump , leap, clear;vault
불신	distrust, mistrust, discredit;disbelieve
씨도	latitude.
이면	The back, the reverse, other side, 
이물질	foreign substance, alien substance
둥그렇다	round, spherical
진동수	the number of vibrations, an oscillation frequency, a pitch
체감	feel
약화	be weaken
참모습	its best, real form??
폭설	heavy snow
일제히	all together, in a body;with one accord;simultaneously, all at once, at the same time
등재	registration, record; register, record,
지향	aim
부과	a levy
증언	testimony, testify ;attest, give testimony
단축	shorten, cut , shave sth off sth
결실	fruition, the fruit of sth
사퇴	resign, step down
깃들이다	dwell, lodge
세밀히	closely, minutely, in detail, elaborately
초래	bring about, cause, incur, lead, give rise to
학적	a school register
남다르다	unusual, uncommon, extraordinary;unique
공고	announce;advertise
아동	child
속속	one after another, one after the other
뒷부분	back; rear end
강우	rain, rainfall, precipitation
안동시	Andong-si
강원도	Gangwon-do
전라	naked body, nudity, nakedness
인자	factor
전이	metastasis, spread, metastasize
점도	) viscosity;a coefficient of viscosity,
아름	the span of ones arms round, an armful
원리	principle, fundamentals
규범	standard, norms;criterion;model, example, pattern
예측	predict, foresee, forecast;foretell
창의	an original idea, originality
미학	esthetics
퇴비	compost;manure
비현실적	unrealistic, impractical, unreal
응모	enter
부지	site;land
현상금	reward
담보	security, collateral
무인	unattended, unmanned
작별	part
존엄	dignity, majesty, augustness, sanctity;dignified, majestic, august, sacred, solemn
인천광역시	Incheon
성립	be valid, be established
기리다	applaud, praise, admire
문헌	literature
눈덩이	snowball
막대하다	huge, enormous, immense, colossal;incalculable;whopping
유조선	oil tanker;supertanker
지름	diameter
다량	a large quantity, plenty of
주되다	main, chief, prime, primary, principal, major
처하다	face, encounter
측정	measurement;sounding, measure, gauge, check, take a measurement;sound
정규	formality, regular, normal
통솔	command, lead, direct, head;superintend
뚫리다	pierced,
생태계	ecosystem, ecological system
자금	funds, money;capital
핑	stunned in the moment
펑	pop, bang
뛰어다니다	run around
수의사	veterinarian;vet;veterinary surgeon
심적	mental, emotional, psychological
신속성	speed
우왕좌왕	confusion, muddle, mess, a confused state; go this way and that, run about in confusion, move about busily, run pell-mell, rush about to no purpose/ We moved around this way and that, not knowing where the exit was.
삭막	dimness; vagueness.
장학생	scholarship student, scholarship holder
반문	a cross-question, a counter-question; ask in return, retort, make a retort, cross-question, cross-examine
비일비재	frequent occurrence, taking place time and again, taking place many times;frequent, common
유선형	streamlined shape, streamlined form
수미	beginning and end, alpha and omega
수강생	student, attendee
미술계	the world of art, art circles, the art world
수기	memoirs;autobiography
소유욕	ownership;possession, own, have;possess
어눌	a slow;speaker.
초유	colostrum
큰불	a big fire
정진	abstinence from flesh;religious purification, devote oneself , apply oneself , abstain from flesh, strive to
난치병	incurable disease
보편성	universality
독해력	ability to read and understand;comprehension
천편일률적	monotonous, dull, boring, humdrum
광고문	an advertising description, a written advertisement, copy
안산시	Ansan-si
반원형	a hemicyclea semicircle,
구상화	a representational painting
어획량	a catch
칭얼거리다	whine, be fretful
행정	administration
관람료	an admission fee, admission
교장실	principal's office, head teacher's office
무주	being ownerless
유해	harmful, noxious;injurious , detrimental
한약재	medicinal herbs
투자비	investment cost
양면성	double-sidedness
개업식	opening ceremony
지향성	directivity
안전핀	safety pin;pin
지양	sublation, Aufheben ; sublate
이익금	a profit, gains
위중	;ill; be in a critical condition.
범상	mediocrity; ordinariness.
정물화가	a still-life painter
공부방	study
하위권	low rank
직하다	be likely , be probable , be worth, seem
진학률	entrance rate
라고	...to be named
수험표	test identification slip
숙박	lodge , stay , put up
처세	the art of living, the secret of success in life, worldly wisdom, ones way of living, how to get on in the world
자연물	natural object
오정	noon, noontime, midday, the meridian hour
후불제	deferred payment system
한류	Korean wave
라는	called, named, styled, titled
며	and
달변가	eloquent speaker
단리	simple interest
행랑	rooms on both sides of the main gate where servants live, servants quarters
애초부터	from the first
심각성	seriousness, magnitude, gravity, severity
자고	sleep
급속	rapidity, swiftness, promptitude, fastness;rapid, swift, prompt, fast, quick
통한	bitter grief
두면	a pockmarked face.
숙지	full knowledge, familiarity; know well, be fully aware , have thorough knowledge , be familiar with, know something inside out
근접	proximity, approach, come close; approach, draw near
광고지	flier, flyer, leaflet
지금부터	starting from now
무엇이든지	whatever
강한	violence; fierceness; wildness. violent; wild; fierce; rough; harsh.
인류의	human
재현	reappearance, a second appearance, reemergence, revival, readvent, reproduction; reproduce, repeat
안전성	safety
병행	going side by side, parallelism; go abreast, run parallel , carry out two things side by side
가서	a letter from ones home
진작	stir , boost, stimulation, rousing
일할	ten percent ; 10%.
정밀한	deliberate
항	clause, paragraph, section
당연	a Chinese inkstone.
어디까지	how far; to what extent.
증명서	certificate
그곳에	in that place
언제부터	when
강화	reinforce, strengthen;consolidate;tighten;build up
생물체	an organism
산업의	industrial
점유율	share
공인	recognize officially
세운	the luck of the times.
중인	many people, the people, the public, the multitude
당선작	prize winner;prize-winning novel
상업적	commercial
불분명하다	uncertain, unclear, obscure, indistinct, ambiguous
그러세요.	Please do.
촉구	insisting, pressing, urging;spurring; urge, press;demand, call upon
거기에	there
까지	until, till
두고	put, set, place, position;park
함양	foster, develop, cultivate, build
적정	enemy's movements
